詞彙,漢語拼音,詞類
裁減,cáijiăn ,(VA)
財團,cáituán ,(N)
財政,cáizhèng ,(N)
才智,cáizhì ,(N)
採訪,căifăng ,(VA)
採光,căiguāng ,(N)
採納,căinà ,(VA)
採取,căiqŭ ,(VA)
彩繪,căihuì ,(VA)
餐具,cānjù ,(N)
參謀,cānmóu ,(N)
殘暴,cánbào ,(VS)
殘酷,cánkù ,(VS)
殘殺,cánshā ,(VA)
慘重,cănzhòng ,(VS)
燦爛,cànlàn ,(VS)
蒼白,cāngbái ,(VS)
蒼蠅,cāngyíng ,(N)
操縱,cāozòng ,(VA)
草案,căoàn ,(N)
草叢,căocóng ,(N)
草率,căoshuài ,(VS)
草藥,căoyào ,(N)
測,cè ,(VA)
策畫/劃,cèhuà ,(VA)
差額,chāé ,(N)
插曲,chāqŭ ,(N)
插嘴,chāzuǐ ,(VA)
茶具,chájù ,(N)
察覺,chájué ,(VS)
查明,chámíng ,(VA)
蟬,chán,(N)
饞,chán ,(VS)
潺潺,chánchán ,(VS)
猖獗,chāngjué ,(VS)
腸,cháng ,(N)
長遠,chángyuăn ,(VS)
場次,chăngcì ,(N)
場面,chăngmiàn ,(N)
倡導,chàngdăo ,(VA)
唱腔,chàngqiāng ,(N)
暢銷,chàngxiāo ,(VS)
產物,chănwù ,(N)
產值,chănzhí ,(N)
超速,chāosù ,(VS)
超脫,chāotuō ,(VS)
抄襲,chāoxí ,(VA)
吵嘴,chăozuǐ ,(VA)
車輛,chēliàng ,(N)
車廂,chēxiāng ,(N)
撤回,chèhuí ,(VA)
撤銷,chèxiāo ,(VA)
沉默,chénmò ,(VS)
沉思,chénsī ,(VA)
沉重,chénzhòng ,(VS)
塵土,chéntŭ ,(N)
呈,chéng ,(VS)
乘,chéng ,(VS)
承包,chéngbāo ,(VA)
承擔,chéngdān,(VA)
承諾,chéngnuò ,(N)
成敗,chéngbài ,(N)
成見,chéngjiàn ,(N)
成就,chéngjiù ,(VA)
成品,chéngpǐn ,(N)
成全,chéngquán ,(VA)
成人,chéngrén,(N)
成效,chéngxiào ,(N)
成衣,chéngyī ,(N)
成員,chéngyuán ,(N)
成長,chéngzhǎng,(N)
稱號,chēnghào ,(N)
稱呼,chēnghū ,(VA)
撐腰,chēngyāo ,(VA)
程式,chéngshì ,(N)
呈獻,chéngxiàn ,(VA)
誠心,chéngxīn ,(N)
誠心誠意,chéngxīnchéngyì  ,(VS)
誠摯,chéngzhì ,(VS)
稱,chèng ,(VA)
吃驚,chījīng ,(VS)
吃苦,chīkŭ ,(VS)
吃力,chīlì ,(VS)
持,chí ,(VA)
持久,chíjiŭ ,(VS)
持平,chípíng ,(VS)
持續,chíxù ,(VS)
池(子),chí(zi),(N)
遲鈍,chídùn ,(VS)
充斥,chōngchì ,(VS)
充裕,chōngyù ,(VS)
沖淡,chōngdàn ,(VA)
沖天,chōngtiān ,(VS)
衝,chōng ,(VA)
衝動,chōngdòng ,(VS)
衝擊,chōngjí ,(VA)
衝突,chōngtú ,(N)
憧憬,chōngjǐng ,(VS)
重疊,chóngdié ,(VS)
崇尚,chóngshàng ,(VS)
寵愛,chǒngài ,(VS)
寵物,chǒngwù,(N)
抽查,chōuchá ,(VA)
抽空,chōukòng  ,(VA)
抽象,chōuxiàng ,(VS)
抽樣,chōuyàng ,(VA)
愁,chóu ,(N)
仇,chóu ,(N)
仇恨,chóuhèn ,(N)
稠密,chóumì ,(VS)
出超,chūchāo ,(VS)
出錯,chūcuò ,(VS)
出發點,chūfādiăn ,(N)
出局,chūjú ,(VS)
出口,chūkǒu,(N)
出力,chūlì ,(VA)
出路,chūlù ,(N)
出馬,chūmă ,(VA)
出賣,chūmài ,(VA)
出面,chūmiàn ,(VA)
出名,chūmíng ,(VS)
出品,chūpǐn ,(N)
出示,chūshì ,(VA)
出手,chūshǒu ,(VA)
出頭,chūtóu ,(Det)
出頭,chūtóu ,(VS)
出土,chūtŭ ,(VS)
出息,chūxí ,(N)
出血,chūxiě ,(VS)
初期,chūqí ,(N)
儲備,chúbèi ,(VA)
除此之外,chúcǐzhīwài,(Conj)
鋤頭,chútou,(N)
處,chŭ ,(VA)
處方,chŭfāng ,(N)
處分,chŭfèn ,(N)
處分,chŭfèn ,(VA)
處境,chŭjìng ,(N)
處事,chŭshì ,(VA)
處於,chŭyú ,(VS)
處女,chùnǚ ,(N)
穿梭,chuānsuō ,(VA)
傳,chuán ,(VA)
傳遞,chuándì ,(VA)
傳奇,chuánqí ,(N)
傳奇,chuánqí ,(VS)
傳神,chuánshén ,(VS)
傳授,chuánshòu ,(VA)
船隻,chuánzhī ,(N)
喘,chuăn ,(VA)
串,chuàn ,(M)
創傷,chuāngshāng ,(N)
創,chuàng ,(VA)
創辦,chuàngbàn ,(VA)
創立,chuànglì ,(VA)
創新,chuàngxīn ,(VA)
創業,chuàngyè ,(VA)
創作,chuàngzuò ,(VA)
吹牛,chuīniú ,(VA)
垂,chuí ,(VA)
垂直,chuízhí ,(VS)
辭,cí ,(VA)
辭典,cídiǎn,(N)
辭行,cíxíng ,(VA)
慈善,císhàn ,(VS)
此刻,cǐkè ,(N)
次,cì ,(Det)
次要,cìyào ,(VS)
伺候,cìhòu ,(VA)
刺殺,cìshā ,(VA)
匆忙,cōngmáng ,(VS)
從容,cōngróng,(VS)
從而,cóngér ,(Conj)
湊巧,còuqiăo ,(VS)
粗糙,cūcāo ,(VS)
粗魯,cūlŭ ,(VS)
促,cù ,(VA)
促成,cùchéng ,(VS)
促使,cùshǐ ,(VS)
促銷,cùxiāo ,(VA)
簇擁,cùyǒng ,(VA)
摧殘,cuīcán ,(VA)
摧毀,cuīhuǐ ,(VA)
催眠,cuīmián ,(VA)
脆弱,cuìruò ,(VS)
存貨,cúnhuò ,(N)
磋商,cuōshāng ,(VA)
撮合,cuòhé ,(VA)
搭配,dāpèi ,(VA)
達,dá ,(VS)
答覆,dáfù ,(VA)
打,dă ,(Prep)
打鬥,dădòu ,(VA)
打賭,dădŭ ,(VA)
打發,dăfā ,(VA)
打擊,dăjí ,(VA)
打量,dăliàng ,(VA)
打獵,dăliè ,(VA)
打牌,dăpái ,(VA)
打手,dăshǒu ,(N)
打烊,dăyáng ,(VA)
大道,dàdào ,(N)
大隊,dàduì ,(N)
大使,dàshǐ ,(N)
大選,dàxuăn ,(N)
大洋洲,dàyángzhōu,(N)
大意,dàyì ,(N)
大致,dàzhì ,(VS)
呆,dāi ,(VS)
待,dāi ,(VA)
歹徒,dăitú ,(N)
逮捕,dàibǔ,(VA)
代課,dàikè ,(VA)
怠慢,dàimàn ,(VS)
擔,dān,(VA)
擔當,dāndāng ,(VA)
擔負,dānfù ,(VA)
單獨,dāndú ,(Adv)
單價,dānjià ,(N)
單據,dānjù ,(N)
單親,dānqīn ,(VS)
單行道,dānxíngdào ,(N)
膽,dăn ,(N)
膽固醇,dăngùchún ,(N)
但,dàn ,(Adv)
淡季,dànjì,(N)
淡水,dànshuǐ ,(N)
刀,dāo ,(M)
導師,dăoshī ,(N)
導致,dăozhì ,(VS)
島嶼,dăoyŭ ,(N)
道,dào ,(VA)
道別,dàobié ,(VA)
道地,dàodì ,(VS)
道士,dàoshì ,(N)
道義,dàoyì ,(N)
到期,dàoqí ,(VS)
到頭來,dàotóulái ,(Adv)
倒數,dàoshǔ,(VA)
當,dāng ,(Det)
當兵,dāngbīng ,(VA)
當代,dāngdài ,(N)
當局,dāngjú ,(N)
當前,dāngqián ,(N)
當心,dāngxīn ,(VS)
黨派,dăngpài ,(N)
黨員,dăngyuán ,(N)
得以,déyǐ ,(Adv)
登場,dēngchăng ,(VA)
登陸,dēnglù ,(VA)
燈火,dēnghuǒ ,(N)
燈籠,dēnglóng ,(N)
等候,děnghòu ,(VS)
等價,děngjià ,(VS)
瞪,dèng ,(VA)
滴,dī ,(VA)
嘀咕,dígū ,(VA)
底片,dǐpiàn ,(N)
抵,dǐ ,(VA)
抵押,dǐyā ,(VA)
抵制,dǐzhì ,(VA)
地表,dìbiăo ,(N)
地步,dìbù ,(N)
地勢,dìshì ,(N)
地域,dìyù ,(N)
地獄,dìyù ,(N)
地質,dìzhí ,(N)
地主,dìzhŭ ,(N)
締結,dìjié ,(VA)
締造,dìzào ,(VA)
弟兄,dìxiōng ,(N)
顛覆,diānfù ,(VA)
典型,diănxíng ,(N)
典雅,diănyă ,(VS)
點子,diănzi ,(N)
奠定,diàndìng ,(VA)
惦記,diànjì ,(VS)
電工,diàngōng ,(N)
電力,diànlì ,(N)
電流,diànliú ,(N)
電器,diànqì ,(N)
電視劇,diànshìjù ,(N)
電壓,diànyā ,(N)
凋零,diāolíng ,(VS)
調,diào,(VA)
調查,diàochá,(N)
調度,diàodù ,(VA)
吊橋,diàoqiáo,(N)
釣魚,diàoyú ,(VA)
疊,dié ,(VA)
頂,dǐng ,(Adv)
頂,dǐng ,(VA)
定額,dìngé ,(N)
定義,dìngyì ,(N)
釘,dìng ,(VA)
訂購,dìnggòu ,(VA)
丟棄,diūqì ,(VA)
凍結,dòngjié ,(VA)
洞穴,dòngxuè ,(N)
動產,dòngchăn,(N)
動機,dòngjī ,(N)
動靜,dòngjìng ,(N)
動力,dònglì ,(N)
動亂,dòngluàn ,(VS)
動脈,dòngmài ,(N)
動態,dòngtài ,(N)
動向,dòngxiàng ,(N)
動員,dòngyuán ,(VA)
抖,dǒu ,(VA)
陡,dǒu ,(VS)
逗留,dòuliú ,(VA)
鬥志,dòuzhì ,(N)
督促,dūcù ,(VA)
獨創,dúchuàng ,(VA)
獨到,dúdào ,(VS)
獨占/佔,dúzhàn ,(VA)
讀物,dúwù ,(N)
堵,dŭ ,(VA)
堵塞,dŭsè ,(VS)
賭博,dŭbó ,(VA)
賭場,dŭchăng ,(N)
渡,dù ,(VA)
度量衡,dùliánghéng ,(N)
端正,duānzhèng ,(VS)
短缺,duănquē ,(VS)
短暫,duănzhàn ,(VS)
斷絕,duànjué ,(VA)
堆積,duījī ,(VA)
隊伍,duìwŭ ,(N)
兌現,duìxiàn ,(VA)
對比,duìbǐ ,(N)
對照,duìzhào ,(VS)
對峙,duìzhì ,(VS)
頓,dùn ,(Adv)
頓,dùn ,(VA)
頓時,dùnshí ,(Adv)
多寡,duōguă ,(N)
多虧,duōkuī ,(Adv)
多媒體,duōméitǐ ,(N)
多元,duōyuán ,(VS)
奪魁,duókuí ,(VA)
躲避,duǒbì ,(VA)
墮胎,duòtāi ,(VA)
額外,éwài ,(VS)
惡,è ,(VS)
惡化,èhuà ,(VS)
惡性,èxìng ,(VS)
惡意,èyì ,(N)
恩愛,ēnài ,(VS)
恩情,ēnqíng ,(N)
恩人,ēnrén ,(N)
恩怨,ēnyuàn ,(N)
而,ér ,(Conj)
而是,érshì,(Conj)
而言,éryán,(N)
兒女,érnǚ ,(N)
耳光,ěrguāng ,(N)
發,fā ,(M)
發電,fādiàn ,(VA)
發瘋,fāfēng ,(VS)
發掘,fājué,(VA)
發誓,fāshì ,(VA)
發炎,fāyán ,(VS)
發音,fāyīn,(N)
發育,fāyù ,(VS)
發展,fāzhǎn,(N)
發作,fāzuò,(VS)
法定,fădìng ,(VS)
法官,făguān ,(N)
法令,fălìng ,(N)
法人,fărén ,(N)
法則,făzé ,(N)
法制,făzhì ,(N)
法治,făzhì ,(N)
翻臉,fānliăn ,(VS)
翻身,fānshēn ,(VA)
翻新,fānxīn ,(VA)
繁多,fánduō ,(VS)
繁體,fántǐ,(N)
藩籬,fánlí ,(N)
凡/凡是,fánshì,(Conj)
返,făn ,(VA)
反擊,fănjí ,(VA)
反射,fănshè ,(VS)
反省,fănxǐng ,(VA)
反之,fănzhī ,(Conj)
犯規,fànguī ,(VA)
販毒,fàndú ,(VA)
販賣,fànmài ,(VA)
方位,fāngwèi ,(N)
方向盤,fāngxiàngpán ,(N)
方針,fāngzhēn ,(N)
方正,fāngzhèng ,(VS)
妨礙,fángài ,(VA)
防備,fángbèi ,(VA)
防範,fángfàn ,(VA)
防水,fángshuǐ ,(VS)
防衛,fángwèi ,(VA)
防禦,fángyù ,(VA)
防治,fángzhì ,(VA)
仿冒,făngmào ,(VA)
仿造,făngzào ,(VA)
紡織,făngzhī ,(VA)
放蕩,fàngdàng ,(VS)
放寬,fàngkuān ,(VA)
放款,fàngkuăn ,(VA)
放任,fàngrèn ,(VS)
放鬆,fàngsōng ,(VS)
放映,fàngyìng ,(VA)
放逐,fàngzhú ,(VA)
非凡,fēifán ,(VS)
非洲,fēizhōu,(N)
飛彈,fēidàn ,(N)
飛快,fēikuài ,(Adv)
飛翔,fēixiáng ,(VA)
飛行,fēixíng ,(VA)
肥料,féiliào ,(N)
廢,fèi ,(VA)
廢除,fèichú ,(VA)
廢棄,fèiqì ,(VA)
廢墟,fèixū ,(N)
廢止,fèizhǐ ,(VA)
費力,fèilì ,(VS)
沸騰,fèiténg ,(VS)
肺炎,fèiyán ,(N)
分貝,fēnbèi ,(M)
分辨,fēnbiàn ,(VA)
分寸,fēncùn ,(N)
分擔,fēndān ,(VA)
分發,fēnfā ,(VA)
分割,fēngē ,(VA)
分化,fēnhuà ,(VA)
分級,fēnjí ,(VA)
分家,fēnjiā ,(VA)
分解,fēnjiě ,(VA)
分離,fēnlí ,(VS)
分裂,fēnliè ,(VS)
分泌,fēnmì ,(VA)
分明,fēnmíng ,(Adv)
分享,fēnxiăng ,(VS)
分子,fēnzǐ ,(N)
墳墓,fénmù, (N)
粉紅,fěnhóng ,(VS)
粉刷,fěnshuā ,(VA)
分量,fènliàng ,(N)
糞,fèn,(N)
封,fēng ,(VA)
封閉,fēngbì ,(VS)
封鎖,fēngsuǒ ,(VA)
封條,fēngtiáo ,(N)
風暴,fēngbào ,(N)
風潮,fēngcháo ,(N)
風光,fēngguāng ,(N)
風光,fēngguāng ,(VS)
風化,fēnghuà ,(N)
風力,fēnglì ,(N)
風尚,fēngshàng ,(N)
風水,fēngshuǐ ,(N)
風行,fēngxíng,(VS)
鋒面,fēngmiàn ,(N)
豐盛,fēngshèng ,(VS)
豐收,fēngshōu ,(VS)
縫,féng ,(N)
奉獻,fèngxiàn ,(VA)
奉養,fèngyàng ,(VA)
佛經,fójīng ,(N)
佛像,fóxiàng ,(N)
否決,fǒujué ,(VA)
膚淺,fūqiăn ,(VS)
敷衍,fūyăn ,(VA)
俘虜,fúlŭ ,(N)
俘虜,fúlŭ ,(VA)
浮動,fúdòng ,(VA)
服從,fúcóng ,(VA)
服飾,fúshì ,(N)
服務,fúwù,(N)
服刑,fúxíng ,(VA)
幅度,fúdù ,(N)
福氣,fúqì ,(N)
輻射,fúshè ,(N)
斧頭,fŭtou ,(N)
撫養,fŭyăng ,(VA)
撫育,fŭyù ,(VA)
腐爛,fŭlàn ,(VS)
腐蝕,fŭshí ,(VS)
腐朽,fŭxiŭ ,(VS)
付,fù,(M)
付款,fùkuăn ,(VA)
負,fù ,(VS)
負面,fùmiàn,(N)
副,fù ,(M)
富,fù ,(VS)
富貴,fùguì ,(N)
富有,fùyǒu ,(VS)
婦人,fùrén ,(N)
附上,fùshàng ,(VA)
復甦,fùsū ,(VS)
復原,fùyuán ,(VS)
賦予,fùyŭ ,(VA)
該死,gāisǐ ,(VS)
改編,găibiān ,(VA)
改觀,găiguān ,(VS)
改良,găiliáng ,(VA)
改選,găixuăn ,(VA)
鈣,gài ,(N)
概,gài ,(Adv)
概括,gàiguā ,(VS)
概況,gàikuàng ,(N)
蓋章,gàizhāng ,(VA)
尷尬,gāngà,(VS)
干擾,gānrăo ,(VA)
干涉,gānshè ,(VA)
乾燥,gānzào ,(VS)
感觸,gănchù ,(N)
感性,gănxìng,(VS)
趕忙,gănmáng ,(Adv)
綱領,gānglǐng ,(N)
剛強,gāngqiáng ,(VS)
鋼鐵,gāngtiě ,(N)
崗位,găngwèi ,(N)
高見,gāojiàn ,(N)
高壓,gāoyā ,(N)
告別,gàobié ,(VA)
告狀,gàozhuàng ,(VA)
胳膊(ㄅㄛ˙),gēbo,(N)
歌唱,gēchàng ,(VA)
歌手,gēshǒu,(N)
歌頌,gēsòng ,(VA)
疙瘩,gēda,(N)
鴿子,gēzi ,(N)
隔,gé ,(Prep)
隔閡,géhé ,(N)
隔天,gétiān,(N)
格局,géjú ,(N)
格式,géshì ,(N)
格外,géwài ,(Adv)
革新,géxīn ,(VA)
各界,gèjiè ,(N)
各自,gèzì ,(N)
個數,gèshù,(N)
個體,gètǐ ,(N)
給予,gěiyŭ ,(VA)
跟進,gēnjìn ,(VA)
跟前,gēnqián ,(N)
根源,gēnyuán ,(N)
耕地,gēngdì ,(N)
更動,gēngdòng ,(VS)
弓,gōng ,(N)
工地,gōngdì ,(N)
工讀,gōngdú ,(VA)
工藝品,gōngyìpǐn ,(N)
公安,gōngān ,(N)
公費,gōngfèi ,(N)
公會,gōnghuì ,(N)
公民,gōngmín ,(N)
公認,gōngrèn ,(VA)
公事,gōngshì ,(N)
公文,gōngwén ,(N)
公務,gōngwù ,(N)
公務員,gōngwùyuán ,(N)
公益,gōngyì ,(N)
公債,gōngzhài ,(N)
功勞,gōngláo ,(N)
功利,gōnglì ,(VS)
攻,gōng ,(VA)
攻讀,gōngdú ,(VA)
攻擊,gōngjí ,(VA)
供給,gōnjǐ ,(VA)
宮殿,gōngdiàn ,(N)
恭敬,gōngjìng ,(VS)
恭維,gōngwéi ,(VA)
鞏固,gǒnggù ,(VS)
共產,gòngchăn ,(VS)
共和國,gònghéguó ,(N)
共鳴,gòngmíng ,(N)
供養,gòngyăng ,(VA)
勾結,gōujié ,(VA)
溝,gōu,(N)
購,gòu ,(VA)
構想,gòuxiăng ,(N)
孤獨,gūdú ,(VS)
孤兒,gūér ,(N)
孤立,gūlì ,(VS)
辜負,gūfù ,(VS)
估價,gūjià ,(VA)
古怪,gŭguài ,(VS)
古跡,gŭjī ,(N)
古籍,gŭjí ,(N)
古物,gŭwù ,(N)
股,gŭ ,(M)
股市,gŭshì ,(N)
鼓吹,gŭchuī ,(VA)
鼓動,gŭdòng ,(VA)
故,gù ,(Conj)
雇/僱,gù ,(VA)
雇/僱用,gùyòng ,(VA)
固然,gùrán ,(Conj)
固體,gùtǐ ,(N)
固有,gùyǒu ,(VS)
固執,gùzhí ,(VS)
顧全,gùquán ,(VA)
蝸牛,guāniú ,(N)
寡婦,guăfù ,(N)
拐,guăi ,(VA)
怪不得,guàibùdé ,(Adv)
官,guān ,(N)
官司,guānsī ,(N)
棺材,guāncái ,(N)
觀,guàn ,(VA)
觀測,guāncè ,(VA)
觀感,guāngăn ,(N)
觀光,guānguāng,(N)
觀看,guānkàn,(VA)
觀摩,guānmó ,(VA)
觀望,guānwàng ,(VA)
關稅,guānshuì ,(N)
關切,guānqiè  ,(VS)
關懷,guānhuái ,(VS)
關頭,guāntóu ,(N)
關係,guānxì,(VS)
關照,guānzhào ,(VS)
管教,guănjiào ,(VA)
管理,guǎnlǐ,(N)
管線,guănxiàn ,(N)
管子,guănzi ,(N)
貫徹,guànchè ,(VS)
慣,guàn ,(VA)
灌,guàn ,(VA)
灌溉,guàngài ,(VA)
灌輸,guànshū ,(VA)
光顧,guānggù ,(VA)
光滑,guānghuá ,(VS)
光輝,guānghuī ,(VS)
光芒,guāngmáng ,(N)
規範,guīfàn ,(N)
規格,guīgé ,(N)
規矩,guījŭ ,(VS)
規則,guīzé ,(VS)
歸,guī ,(VA)
歸,guī ,(VS)
歸還,guīhuán ,(VA)
歸納,guīnà ,(VA)
軌道,guǐdào ,(N)
鬼怪,guǐguài ,(N)
貴,guì,(Det)
貴賓,guìbīn ,(N)
棍子,gùnzi ,(N)
國產,guóchăn ,(VS)
國防,guófáng ,(N)
國境,guójìng ,(N)
國君,guójūn ,(N)
國民,guómín,(N)
國營,guóyíng ,(VS)
果斷,guǒduàn ,(VS)
果實,guǒshí ,(N)
果樹,guǒshù,(N)
果真,guǒzhēn ,(Adv)
過關,guòguān ,(VA)
過量,guòliàng ,(VS)
過敏,guòmǐn ,(VS)
過目,guòmù ,(VA)
過人,guòrén ,(VS)
過失,guòshī ,(N)
過癮,guòyǐn ,(VS)
過重,guòzhòng ,(VS)
海拔,hăibá ,(N)
海面,hăimiàn ,(N)
海嘯,hǎixiào,(N)
海運,hăiyùn ,(N)
害蟲,hàichóng ,(N)
喊,hăn ,(VA)
行號,hánghào ,(N)
行列,hángliè ,(N)
航空信,hángkōngxìn ,(N)
航行,hángxíng ,(VA)
毫不,háobù ,(Adv)
好比,hăobǐ ,(VA)
好手,hăoshǒu ,(N)
好受,hăoshòu ,(VS)
號,hào ,(VA)
號子/證券行,hàozi /zhèngquànháng,(N)
合併,hébìng ,(VA)
合同,hétóng ,(N)
合意,héyì ,(VS)
合約,héyuē ,(N)
何,hé ,(Det)
何在,hézài ,(VS)
和解,héjiě ,(VA)
和睦,hémù ,(VS)
和諧,héxié ,(VS)
核定,hédìng ,(VA)
核對,héduì ,(VA)
核算,hésuàn ,(VA)
核准,hézhŭn ,(VA)
核子,hézǐ ,(N)
黑名單,hēimíngdān ,(N)
黑社會,hēishèhuì ,(N)
狠,hěn ,(VS)
狠心,hěnxīn ,(VS)
哼,hēng ,(P)
哼,hēng ,(VA)
橫,héng ,(VA)
衡量,héngliáng,(VA)
轟動,hōngdòng ,(VS)
轟轟烈烈,hōnghōnglièliè ,(VS)
紅利,hónglì , (N)
紅燒,hóngshāo ,(VA)
洪水,hóngshuǐ ,(N)
宏偉,hóngwěi ,(VS)
哄,hǒng ,(VA)
後輩,hòubèi,(N)
後天,hòutiān,(VS)
候選人,hòuxuănrén ,(N)
呼籲,hūyù ,(VA)
壺,hú ,(M)
胡亂,húluàn ,(Adv)
狐疑,húyí ,(VS)
戶口,hùkǒu ,(N)
互補,hùbŭ ,(VS)
互動,hùdòng,(N)
互惠,hùhuì ,(VS)
護,hù ,(VA)
花瓣,huābàn ,(N)
花朵,huāduǒ ,(N)
花卉,huāhuì ,(N)
花紋,huāwén ,(N)
花樣,huāyàng ,(N)
划不來,huábùlái ,(VS)
划得來,huádelái ,(VS)
華裔,huáyì ,(N)
化工,huàgōng ,(N)
化石,huàshí ,(N)
話劇,huàjù ,(N)
畫面,huàmiàn ,(N)
畫展,huàzhăn ,(N)
劃時代,huàshídài ,(VS)
懷,huái ,(VS)
懷疑,huáiyí,(VS)
歡送,huānsòng ,(VA)
幻象,huànxiàng ,(N)
換取,huànqŭ ,(VA)
患,huàn ,(VS)
患者,huànzhě ,(N)
